Place Name;Place Name normalised;Place Name unique; Place Name unique sorted;Place Name unique manually
Cap der guten Hoff- nung;Cap der guten Hoffnung;Canaria;Herurna;Keppels-Eyland
indianiÅ¿chen Ocean;indianischen Ocean;Kanarischen Inseln;Herurua;Kerguelens Inseln
Van Diemens Land;Van Diemens Land;Rom;Hervey-;Ketten-Insel
Neu-Seeland;Neu-Seeland;Mauretanien;Hervey-Eyland;Kew
MadagaÅ¿car;Madagascar;Lancerota;hetta;Klein-Tahiti
Manilla;Manilla;Castilien;Hiddia;la Encarnacion
SuÍ¤d-Meer;Süd-Meer;Normandie;Hierusalem;Ladrones
SuÍ¤dpol;Südpol;Portugall;Hippah-Felsen;Ladronischen Inseln
SuÍ¤dpol;Südpol;Ferro;Holland;Lancerota
SuÍ¤dpol;Südpol;Hudsons-Bay;Holz-Bay;l'Archipel des navigateurs
England;England;Bonavista;Horn-Eyland;le Boudoir
Cap;Cap;grünen Vorgebürges;Hottentot-Holland;Levante
Plymouth;Plymouth;Mayo;Hout-Bay;Leyden
Cap der guten Hoffnung;Cap der guten Hoffnung;San Jago;Huaheine;Lima
Tahiti;Tahiti;Porto-Praya;Huahine;Lissabon
Amerika;Amerika;Cap-Verdischen Inseln;Hudsons-Bay;London
Neu-Albion;Neu-Albion;S. Jago;Ilha dos Codornizes;Long-Eyland
VorgebuÍ¤rge der guten Hoffnung;Vorgebürge der guten Hoffnung;St. Jago;Ilhas desertas;Löwenberg
Engelland;Engelland;Afrique;Indian Cove;Löwenkopf
Fayal;Fayal;Ribeira grande;Indian-Cove;Luncheon-cove
Berlin;Berlin;Fuogo;Indianer-Insel;Mäatea
Irrland;Irrland;Ilha dos Codornizes;Indian-Eyland;Madagascar
London;London;Wachtel-Insel;indianischen Ocean;Madera
Engelland;Engelland;Porto Praya;Indian-Island;Madrid
beyder Indien;beyder Indien;Arabien;Indien;Magellanische Meer-Enge
Plymouth;Plymouth;Abyssinien;Indien-Cove;Maitea
Madera;Madera;Norwegen;Indienund Shag-Cove;Manilla
England;England;Guinea;Insel-Bay;Marien-Bay
SheerneÃŸ;Sheerness;Süd Amerika;Inseln des Glücks;Marquesas
