Place Name;Place Name normalised;Place Name unique; Place Name unique sorted;Place Name unique manually
Huaheine;Huaheine;;;
Europa;Europa;;;
Tahiti;Tahiti;;;
Huaheine;Huaheine;;;
Tahiti;Tahiti;;;
O-Tahiti;O-Tahiti;;;
OÅ¿tindien;Ostindien;;;
SuÍ¤d-See- InÅ¿eln;Süd-SeeInseln;;;
England;England;;;
England;England;;;
Raietea;Raietea;;;
England;England;;;
Vorgebirge der guten Hoffnung;Vorgebirge der guten Hoffnung;;;
Tahiti;Tahiti;;;
Tahiti;Tahiti;;;
SocietaÍ¤ts-InÅ¿eln;Societäts-Inseln;;;
England;England;;;
Huaheine;Huaheine;;;
Ulietea;Ulietea;;;
Socie- taÍ¤ts-InÅ¿eln;Societäts-Inseln;;;
O-Raietea;O-Raietea;;;
Hamaneno;Hamaneno;;;
Tahiti;Tahiti;;;
Huaheine;Huaheine;;;
Huaheine;Huaheine;;;
Oruwherra;Oruwherra;;;
Borabora;Borabora;;;
Bolabola;Bolabola;;;
Bo- rabora;Borabora;;;
SuÍ¤d-See;Süd-See;;;
Oruwherra;Oruwherra;;;
Tahiti;Tahiti;;;
Borabora;Borabora;;;
Raietea;Raietea;;;
Borabora;Borabora;;;
Raietea;Raietea;;;
O-Taha;O-Taha;;;
Maurua;Maurua;;;
Raietea;Raietea;;;
U-Uru;U-Uru;;;
Opoa;Opoa;;;
Taha;Taha;;;
Huaheine;Huaheine;;;
Tahiti;Tahiti;;;
Raietea;Raietea;;;
England;England;;;
England;England;;;
Borabora;Borabora;;;
Huaheine;Huaheine;;;
Mopiha;Mopiha;;;
Whennua-aurah;Whennua-aurah;;;
Seilly- Eyland;SeillyEyland;;;
Tahiti;Tahiti;;;
Mopiha;Mopiha;;;
Whennua- Aurah;WhennuaAurah;;;
Adiha;Adiha;;;
Tautihpa;Tautihpa;;;
Wauwan;Wauwan;;;
Uborruh;Uborruh;;;
TabuaÃ¯;Tabuaä;;;
AuhaÍ¤iau;Auhäiau;;;
Rorotoa;Rorotoa;;;
Adiha;Adiha;;;
Uborruh;Uborruh;;;
Whennua;Whennua;;;
Motuh;Motuh;;;
Worio;Worio;;;
Woriea;Woriea;;;
Orimatarra;Orimatarra;;;
Tahiti;Tahiti;;;
Uborruh;Uborruh;;;
TubuaÃ¯;Tubuaä-;;;
SuÍ¤d-See;Süd-See;;;
England;England;;;
U-Uru;U-Uru;;;
Raietea;Raietea;;;
Tahiti;Tahiti;;;
Tahiti;Tahiti;;;
Tahiti;Tahiti;;;
O-Taha;O-Taha;;;
Raietea;Raietea;;;
Huaheine;Huaheine;;;
O-Taha;O-Taha;;;
England;England;;;
England;England;;;
O-Taha;O-Taha;;;
O-Hamane;O-Hamane;;;
Tahiti;Tahiti;;;
Raietea;Raietea;;;
Huaheine;Huaheine;;;
Taha;Taha;;;
Tahiti;Tahiti;;;
SocietaÍ¤ts-InÅ¿eln;Societäts-Inseln;;;
Tahiti;Tahiti;;;
O-Taha;O-Taha;;;
Raietea;Raietea;;;
Huaheine;Huaheine;;;
O-Hamane;O-Hamane;;;
Borabora;Borabora;;;
O-;O-;;;
Herurua;Herurua;;;
Herurna;Herurna;;;
A-Poto Poto;A-Poto Poto;;;
SocietaÍ¤ts-InÅ¿eln;Societäts-Inseln;;;
Levante;Levante;;;
SocietaÍ¤ts-InÅ¿eln;Societäts-Inseln;;;
freundÅ¿chaft- lichen InÅ¿eln;freundschaftlichen Inseln;;;
Hamaneno;Hamaneno;;;
Raietea;Raietea;;;
Taha;Taha;;;
Borabora;Borabora;;;
Tahiti;Tahiti;;;
SocietaÍ¤ts-InÅ¿eln;Societäts-Inseln;;;
Aetepieha;Aetepieha;;;
England;England;;;
Borabora;Borabora;;;
Taha;Taha;;;
Raietea;Raietea;;;
Eimeo;Eimeo;;;
Maurua;Maurua;;;
Raietea;Raietea;;;
BriÅ¿tol;Bristol;;;
Hervey-Eyland;Hervey-Eyland;;;
Hervey-;Hervey-;;;
Eyland;Eyland;;;
Greenwich;Greenwich;;;
Middelburgh;Middelburgh;;;
AmÅ¿terdam;Amsterdam;;;
Middelburgh;Middelburgh;;;
Wight;Wight;;;
England;England;;;
SocietaÍ¤ts-InÅ¿eln;Societäts-Inseln;;;
Tahiti;Tahiti;;;
SocietaÍ¤ts InÅ¿eln;Societäts Inseln;;;
Tahiti;Tahiti;;;
SocietaÍ¤ts-InÅ¿eln;Societäts-Inseln;;;
Tahiti;Tahiti;;;
Mid- delburgh;Middelburgh;;;
Ea-Uwhe;Ea-Uwhe;;;
AmÅ¿terdam;Amsterdam;;;
Tonga-Tabu;Tonga-Tabu;;;
AmÅ¿terdam;Amsterdam;;;
Ea-Uwhe;Ea-Uwhe;;;
Tongatabu;Tongatabu;;;
SuÍ¤dÅ¿ee;Südsee;;;
Ea-Uwhe;Ea-Uwhe;;;
England;England;;;
WeÅ¿tindien;Westindien;;;
Batavia;Batavia;;;
oÅ¿tindiÅ¿chen InÅ¿eln;ostindischen Inseln;;;
SocietaÍ¤ts-InÅ¿eln;Societäts-Inseln;;;
SocietaÍ¤ts-InÅ¿eln;Societäts-Inseln;;;
Tahiti;Tahiti;;;
Tahiti;Tahiti;;;
Tahiti;Tahiti;;;
Tahiti;Tahiti;;;
SocietaÍ¤ts-InÅ¿eln;Societäts-Inseln;;;
SocietaÍ¤ts-InÅ¿eln;Societäts-Inseln;;;
Tahiti;Tahiti;;;
Afrika;Afrika;;;
VorgebuÍ¤rges der guten Hoffnung;Vorgebürges der guten Hoffnung;;;
Paraguay;Paraguay;;;
Californien;Californien;;;
Japan;Japan;;;
Tahiti;Tahiti;;;
Tahiti;Tahiti;;;
SuÍ¤dÅ¿ee-InÅ¿eln;Südsee-Inseln;;;
SocietaÍ¤ts-InÅ¿eln;Societäts-Inseln;;;
Tahiti;Tahiti;;;
SocietaÍ¤ts-InÅ¿eln;Societäts-Inseln;;;
Raietea;Raietea;;;
Borabora;Borabora;;;
AmÅ¿terdam;Amsterdam;;;
Ton- gatabu;Tongatabu;;;
Ea-Uwhe;Ea-Uwhe;;;
Van Diemens Rhede;Van Diemens Rhede;;;
Ea-Uwhe;Ea-Uwhe;;;
Ea-Uwhe;Ea-Uwhe;;;
Ea-Uwhe;Ea-Uwhe;;;
Borabora;Borabora;;;
Tahiti;Tahiti;;;
SocietaÍ¤ts-InÅ¿eln;Societäts-Inseln;;;
Van- Diemens Rhede;VanDiemens Rhede;;;
Ea-Uwhe;Ea-Uwhe;;;
SocietaÍ¤ts-InÅ¿eln;Societäts-Inseln;;;
Tahiti;Tahiti;;;
SocietaÍ¤ts-InÅ¿eln;Societäts-Inseln;;;
Ea-Uwhe;Ea-Uwhe;;;
Ea-Uwhe;Ea-Uwhe;;;
Tonga-Tabu;Tonga-Tabu;;;
SuÍ¤d-See;Süd-See;;;
Tahiti;Tahiti;;;
Ea-Uwhe;Ea-Uwhe;;;
Maria-Bay;Maria-Bay;;;
Schweden;Schweden;;;
Stockholm;Stockholm;;;
Ta- hiti;Tahiti;;;
SocietaÍ¤ts-InÅ¿eln;Societäts-Inseln;;;
Ea-Uwhe;Ea-Uwhe;;;
Tahiti;Tahiti;;;
Tahiti;Tahiti;;;
SocietaÍ¤ts-InÅ¿eln;Societäts-Inseln;;;
Tahiti;Tahiti;;;
Indien;Indien;;;
Europa;Europa;;;
Huaheine;Huaheine;;;
Huaheine;Huaheine;;;
Tahiti;Tahiti;;;
Neu-Seeland;Neu-Seeland;;;
Tongatabu;Tongatabu;;;
Marien-Bay;Marien-Bay;;;
Tongatabu;Tongatabu;;;
Tahiti;Tahiti;;;
SocietaÍ¤ts-InÅ¿eln;Societäts-Inseln;;;
Europa;Europa;;;
SuÍ¤dÅ¿ee;Südsee;;;
SocietaÍ¤ts-InÅ¿eln;Societäts-Inseln;;;
Marien-Bay;Marien-Bay;;;
Neu-Seeland;Neu-Seeland;;;
Cocos-VerraÍ¤ther- und Horne-InÅ¿eln;Cocos-Verräther und Horne-Inseln;;;
South Pacific Ocean;South Pacific Ocean;;;
London;London;;;
Tahiti;Tahiti;;;
Horn-Eyland;Horn-Eyland;;;
freundÅ¿chaftlichen InÅ¿eln;freundschaftlichen Inseln;;;
friendly IÅ¿lands;friendly Islands;;;
Cocos-VerraÍ¤ther-Hoff-;Cocos-Verräther-Hoff-;;;
nungs- und Horn-Eylanden;nungsund Horn-Eylanden;;;
Horn-Eyland;Horn-Eyland;;;
Tonga-Tabu;Tonga-Tabu;;;
Anamocka;Anamocka;;;
AmÅ¿terdam;Amsterdam;;;
Rotterdam;Rotterdam;;;
Cocos-Hofnungs- und Horn-Eyland;Cocos-Hofnungsund Horn-Eyland;;;
Boseawen;Boseawen;;;
Keppels-Eyland;Keppels-Eyland;;;
Cocos- und VerraÍ¤ther-InÅ¿el;Cocos und Verräther-Insel;;;
lâ€™Archipel des navigateurs;l'Archipel des navigateurs;;;
AmÅ¿terdam;Amsterdam;;;
Horn-Eyland;Horn-Eyland;;;
Tongatabu;Tongatabu;;;
Ea-Uwhe;Ea-Uwhe;;;
SocietaÍ¤ts-InÅ¿eln;Societäts-Inseln;;;
Horn-Eyland;Horn-Eyland;;;
SocietaÍ¤ts-InÅ¿eln;Societäts-Inseln;;;
freund- Å¿chaftlichen InÅ¿eln;freundschaftlichen Inseln;;;
SocietaÍ¤ts-InÅ¿eln;Societäts-Inseln;;;
Tongata- bu;Tongatabu;;;
SocietaÍ¤ts-InÅ¿eln;Societäts-Inseln;;;
Tongatabu;Tongatabu;;;
Tahiti;Tahiti;;;
SuÍ¤dÅ¿ee;Südsee;;;
Tongatabu;Tongatabu;;;
Tahiti;Tahiti;;;
SocietaÍ¤ts-InÅ¿eln;Societäts-Inseln;;;
Tahiti;Tahiti;;;
SocietaÍ¤ts- und auf den freundÅ¿chaftlichen InÅ¿eln;Societäts und auf den freundschaftlichen Inseln;;;
Tongatabu;Tongatabu;;;
Tahiti;Tahiti;;;
Marien-Bay;Marien-Bay;;;
Horn-Eyland;Horn-Eyland;;;
PylÅ¿taerts-Eyland;Pylstaerts-Eyland;;;
Neu-1773. October. Seeland;Neu-1773. October. Seeland;;;
SuÍ¤dÅ¿ee;Südsee;;;
SocietaÍ¤ts- theils auf den freundÅ¿chaftlichen InÅ¿eln;Societäts theils auf den freundschaftlichen Inseln;;;
Neu-Seeland;Neu-Seeland;;;
freundÅ¿chaftlichen InÅ¿eln;freundschaftlichen Inseln;;;
Neu- Seeland;NeuSeeland;;;
Charlotten-Sund;Charlotten-Sund;;;
Huaheine;Huaheine;;;
Neu-Seeland;Neu-Seeland;;;
Table-Cap;Table-Cap;;;
Portland-Eyland;Portland-Eyland;;;
Neu-Seeland;Neu-Seeland;;;
Hawkes-Bay;Hawkes-Bay;;;
Cap Kidnappers;Cap Kidnappers;;;
Å¿chwarzen EapCap;schwarzen EapCap;;;
Bo- rabora;Borabora;;;
Cap PalliÅ¿er;Cap Palliser;;;
Cooks- StraÃŸe;CooksStrasse;;;
Cooks-StraÃŸe;Cooks-Strasse;;;
Cap Tera Witti;Cap Tera Witti;;;
Cap Tera-Witti;Cap Tera-Witti;;;
Eaheino- Mauwe;EaheinoMauwe;;;
Cap Koa-Maruh;Cap Koa-Maruh;;;
Charlotten-Sund;Charlotten-Sund;;;
Schip- Cove;SchipCove;;;
Gras-Cove;Gras-Cove;;;
Ship-Cove;Ship-Cove;;;
Hippah-FelÅ¿en;Hippah-Felsen;;;
Motu-Aro;Motu-Aro;;;
Neu-Seeland;Neu-Seeland;;;
Tahiti;Tahiti;;;
Cannibal-Cove;Cannibal-Cove;;;
Ship-Cove;Ship-Cove;;;
SuÍ¤dpol;Südpol;;;
Engelland;Engelland;;;
Port-Egmont;Port-Egmont;;;
Falklands-InÅ¿eln;Falklands-Inseln;;;
Southern Atlantic Ocean;Southern Atlantic Ocean;;;
Ship-Cove;Ship-Cove;;;
Charlotten-Sund;Charlotten-Sund;;;
Neu-Seeland;Neu-Seeland;;;
Falklands-InÅ¿eln;Falklands-Inseln;;;
Neu-Seeland;Neu-Seeland;;;
Falklands-InÅ¿eln;Falklands-Inseln;;;
Neu-Seeland;Neu-Seeland;;;
Falklands-InÅ¿eln;Falklands-Inseln;;;
Indian-Cove;Indian-Cove;;;
Indien- und Shag-Cove;Indienund Shag-Cove;;;
Dusky-Bay;Dusky-Bay;;;
Neu-Seeland;Neu-Seeland;;;
EaÅ¿t-Bay;East-Bay;;;
Cap Tera-witti;Cap Tera-witti;;;
Long- Eyland;LongEyland;;;
Dusky-Bay;Dusky-Bay;;;
Borabora;Borabora;;;
Neu- Seeland;NeuSeeland;;;
Cap Blake;Cap Blake;;;
freundÅ¿chaftlichen In- Å¿eln;freundschaftlichen Inseln;;;
Neu-Seeland;Neu-Seeland;;;
Charlotten-Sund;Charlotten-Sund;;;
Greenwich;Greenwich;;;
EaÅ¿t Bay;East Bay;;;
England;England;;;
AdmiralitaÍ¤ts-Bay;Admiralitäts-Bay;;;
WeÅ¿t-Bay;West-Bay;;;
Neu-Seeland;Neu-Seeland;;;
Indian-Cove;Indian-Cove;;;
Charlotten-Sund;Charlotten-Sund;;;
Neu-Seeland;Neu-Seeland;;;
Motu-Aro;Motu-Aro;;;
Indian Cove;Indian Cove;;;
England;England;;;
London;London;;;
SocietaÍ¤ts-InÅ¿eln;Societäts-Inseln;;;
Neu-Seeland;Neu-Seeland;;;
Bay of Plenty;Bay of Plenty;;;
DeutÅ¿chland;Deutschland;;;
ThuÍ¤- ringen;Thüringen;;;
MatogroÃŸo;Matogrosso;;;
BraÅ¿ilien;Brasilien;;;
London;London;;;
Amerika;Amerika;;;
Tahiti;Tahiti;;;
Neu-Seeland;Neu-Seeland;;;
SocietaÍ¤ts-InÅ¿eln;Societäts-Inseln;;;
Indien-Cove;Indien-Cove;;;
Motu-Aro;Motu-Aro;;;
Motu-Aro;Motu-Aro;;;
Long-Eyland;Long-Eyland;;;
Cap Terawitti;Cap Terawitti;;;
Cap Terawitti;Cap Terawitti;;;
PalliÅ¿er;Palliser;;;
Neu-Seeland;Neu-Seeland;;;
Indien;Indien;;;
SuÍ¤d-See;Süd-See;;;
Cap PalliÅ¿er;Cap Palliser;;;
Neu-Seeland;Neu-Seeland;;;
VorgebuÍ¤rge der guten Hoffnung;Vorgebürge der guten Hoffnung;;;
Dusky-Bay;Dusky-Bay;;;
Neu-Seeland;Neu-Seeland;;;
Tahiti;Tahiti;;;
SocietaÍ¤ts- und freundÅ¿chaftlichen In- Å¿eln;Societäts und freundschaftlichen Inseln;;;
Charlotten-Sund;Charlotten-Sund;;;
SuÍ¤dpol;Südpol;;;
VorgebuÍ¤rge der guten Hoffnung;Vorgebürge der guten Hoffnung;;;
Californien;Californien;;;
Cadiz;Cadiz;;;
Vera-Cruz;Vera-Cruz;;;
Mexico;Mexico;;;
Neu-Seeland;Neu-Seeland;;;
SuÍ¤dpol;Südpol;;;
England;England;;;
Neu-Seeland;Neu-Seeland;;;
EaÅ¿ter- oder OÅ¿ter-Eyland;Easteroder Oster-Eyland;;;
Neu-Seeland;Neu-Seeland;;;
London;London;;;
England;England;;;
London;London;;;
America;America;;;
Californien;Californien;;;
Cap;Cap;;;
SuÍ¤dpol;Südpol;;;
Tahiti;Tahiti;;;
Neu-Seeland;Neu-Seeland;;;
Tahiti;Tahiti;;;
weiÃŸe Land;weisse Land;;;
Whennua;Whennua;;;
England;England;;;
Tongatabu;Tongatabu;;;
SocietaÍ¤ts-InÅ¿eln;Societäts-Inseln;;;
VorgebuÍ¤rge der guten Hoffnung;Vorgebürge der guten Hoffnung;;;
SocietaÍ¤ts- und freundÅ¿chaftlichen InÅ¿eln;Societäts und freundschaftlichen Inseln;;;
Neu-Seeland;Neu-Seeland;;;
Eu- ropa;Europa;;;
RoÍ¤Å¿t;Röst;;;
RuÍ¤Å¿ten;Rüsten;;;
Norwegen;Norwegen;;;
Venezia;Venezia;;;
Neu-Seeland;Neu-Seeland;;;
Tahiti;Tahiti;;;
SuÍ¤d-See;Süd-See;;;
Europa;Europa;;;
England;England;;;
SuÍ¤d-See;Süd-See;;;
SuÍ¤d-See;Süd-See;;;
SuÍ¤dÅ¿ee;Südsee;;;
Neu-Seeland;Neu-Seeland;;;
SuÍ¤dpol;Südpol;;;
Å¿tillen Meers;stillen Meers;;;
Cap Horn;Cap Horn;;;
Greenwich;Greenwich;;;
London;London;;;
OÅ¿terinÅ¿el;Osterinsel;;;
EaÅ¿ter-Eyland;Easter-Eyland;;;
S. Carls InÅ¿el;S. Carls Insel;;;
SuÍ¤d-See;Süd-See;;;
Juan Fernan- dez;Juan Fernandez;;;
Neu-Seeland;Neu-Seeland;;;
England;England;;;
GoÍ¤ttin- gen;Göttingen;;;
EaÅ¿ter- oder OÅ¿ter-Eyland;Easteroder Oster-Eyland;;;
Batavia;Batavia;;;
Teneriffa;Teneriffa;;;
London;London;;;
Greenwich;Greenwich;;;
OÅ¿ter-Eyland;Oster-Eyland;;;
SuÍ¤dÅ¿ee;Südsee;;;
SocietaÍ¤ts- und der freundÅ¿chaftlichen In- Å¿eln;Societäts und der freundschaftlichen Inseln;;;
Tahiti;Tahiti;;;
Neu-Seeland;Neu-Seeland;;;
freundÅ¿chaftlichen InÅ¿eln;freundschaftlichen Inseln;;;
SocietaÍ¤ts-InÅ¿eln;Societäts-Inseln;;;
SocietaÍ¤ts- und freundÅ¿chaftlichen InÅ¿eln;Societäts und freundschaftlichen Inseln;;;
SuÍ¤dÅ¿ee;Südsee;;;
Tahiti;Tahiti;;;
SuÍ¤dÅ¿ee;Südsee;;;
SuÍ¤dÅ¿ee;Südsee;;;
Tahiti;Tahiti;;;
SuÍ¤dÅ¿ee-InÅ¿eln;Südsee-Inseln;;;
VeÅ¿uvs;Vesuvs;;;
SuÍ¤dÅ¿ee;Südsee;;;
Tahiti;Tahiti;;;
Neu-Seeland;Neu-Seeland;;;
SuÍ¤dÅ¿ee-InÅ¿eln;Südsee-Inseln;;;
Tahiti;Tahiti;;;
Neu-Seeland;Neu-Seeland;;;
Tahiti;Tahiti;;;
SocietaÍ¤ts- und freundÅ¿chaftli- chen InÅ¿eln;Societäts und freundschaftlichen Inseln;;;
Tahiti;Tahiti;;;
Tahiti;Tahiti;;;
Tahiti;Tahiti;;;
OÅ¿ter-Eyland;Oster-Eyland;;;
Tahiti;Tahiti;;;
SocietaÍ¤ts-InÅ¿eln;Societäts-Inseln;;;
OÅ¿ter-Ey- land;Oster-Eyland;;;
SocietaÍ¤ts-InÅ¿eln;Societäts-Inseln;;;
Neu-Seeland;Neu-Seeland;;;
freundÅ¿chaftli- chen InÅ¿eln;freundschaftlichen Inseln;;;
Tahiti;Tahiti;;;
SocietaÍ¤ts-InÅ¿eln;Societäts-Inseln;;;
freundÅ¿chaftlichen InÅ¿eln;freundschaftlichen Inseln;;;
Waihu;Waihu;;;
Waihu;Waihu;;;
WeÅ¿t-See;West-See;;;
S. Lorenzo;S. Lorenzo;;;
OÅ¿ter- Eyland;OsterEyland;;;
OÅ¿ter-Eyland;Oster-Eyland;;;
Neu-Seeland;Neu-Seeland;;;
Tahiti;Tahiti;;;
freundÅ¿chaftlichen InÅ¿eln;freundschaftlichen Inseln;;;
OÅ¿ter-Ey- land;Oster-Eyland;;;
SuÍ¤dÅ¿ee-InÅ¿eln;Südsee-Inseln;;;
OÅ¿ter-Eyland;Oster-Eyland;;;
Waihu;Waihu;;;
Tongatabu;Tongatabu;;;
Tahiti;Tahiti;;;
OÅ¿ter-Eyland;Oster-Eyland;;;
OÅ¿ter-Eylands;Oster-Eylands;;;
Neu-Seeland;Neu-Seeland;;;
